,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
173,Betioky,MG,-23.72,44.38,80.01,49,0,8.93
174,Flinders,AU,-34.58,150.86,66.6,79,37,1.01
175,Christchurch,NZ,-43.53,172.63,59.32,38,0,17.22
176,Nanortalik,GL,60.14,-45.24,27.84,92,83,7.05
177,Mainit,PH,9.54,125.52,78.53,86,100,6.49
178,Salta,AR,-24.79,-65.41,55.38,93,0,1.19
179,Menongue,AO,-14.66,17.69,64.13,59,96,4.0
180,Saint-Joseph,RE,-21.37,55.62,77.11,65,20,23.04
181,Creel,MX,27.75,-107.63,42.93,40,0,11.65
182,Mossamedes,AO,-15.2,12.15,74.79,71,98,5.86
183,Banes,CU,20.96,-75.72,75.2,88,1,2.24
184,Padang,ID,-0.95,100.35,86.16,71,13,3.38
185,Pevek,RU,69.7,170.31,3.31,94,74,4.61
186,Fare,PF,-16.7,-151.02,83.77,76,70,11.68
187,Deputatsky,RU,69.3,139.9,7.12,81,100,3.44
188,São João da Barra,BR,-21.64,-41.05,70.11,80,100,8.3
189,Cayenne,GF,4.93,-52.33,77.0,100,71,3.36
190,Talnakh,RU,69.49,88.4,37.4,74,100,40.26
191,Ribeira Grande,PT,38.52,-28.7,60.8,72,40,20.8
192,Giddalūr,IN,15.35,78.92,102.02,17,0,3.56
193,Cidreira,BR,-30.18,-50.21,65.95,85,0,12.84
194,Río Gallegos,AR,-51.62,-69.22,41.0,62,91,12.75
195,Nome,US,64.5,-165.41,34.9,93,90,4.7
196,Coyhaique,CL,-45.58,-72.07,42.8,87,99,8.05
197,Castro,BR,-24.79,-50.01,55.02,68,58,5.26
198,La Ronge,CA,55.1,-105.28,30.2,63,90,3.36
199,Ketchikan,US,55.34,-131.65,44.92,81,1,1.86
200,Cedar City,US,37.68,-113.06,42.69,75,1,2.26
201,Māngrol,IN,21.12,70.12,91.02,38,13,12.06
202,Belyy Yar,RU,53.6,91.39,59.0,24,0,8.95
203,Beira,MZ,-19.84,34.84,77.0,78,20,12.75
204,Saint-François,FR,46.42,3.91,48.92,87,96,2.26
205,Hastings,GB,50.86,0.57,44.53,93,7,1.01
206,Bilma,NE,18.69,12.92,82.02,13,22,5.37
207,Tougan,BF,13.07,-3.07,87.69,42,83,10.56
208,Miraflores,MX,19.22,-98.81,68.0,45,75,3.36
209,Hasaki,JP,35.73,140.83,63.81,59,20,20.8
210,Morondava,MG,-20.28,44.28,81.23,65,0,7.38
211,Mwense,ZM,-10.38,28.7,69.75,61,64,7.61
212,Samarai,PG,-10.62,150.67,84.61,72,57,6.8
213,Tommot,RU,58.96,126.29,24.04,83,100,7.25
214,Salinópolis,BR,-0.61,-47.36,80.06,80,98,4.97
215,Kouroussa,GN,10.65,-9.88,77.76,66,95,5.06
216,Ugoofaaru,MV,5.67,73.0,86.47,72,11,12.06
217,Tiznit Province,MA,29.58,-9.5,55.27,75,84,17.69
218,Port Hardy,CA,50.7,-127.42,46.4,93,90,4.7
219,Codrington,AU,-38.27,141.97,62.58,59,96,6.02
220,Mar del Plata,AR,-38.0,-57.56,61.95,82,79,16.11
221,Sisimiut,GL,66.94,-53.67,20.25,92,50,13.65
222,Bathsheba,BB,13.22,-59.52,80.6,69,40,19.46
223,Aklavik,CA,68.22,-135.01,17.6,85,90,9.17
224,Los Llanos de Aridane,ES,28.66,-17.92,62.6,67,40,6.93
225,Bonavista,CA,48.65,-53.11,28.83,95,63,7.18
226,Batemans Bay,AU,-35.72,150.18,60.91,77,42,6.58
227,Sangar,RU,63.92,127.47,22.1,79,9,3.22
228,Adiaké,CI,5.29,-3.3,82.4,88,40,9.17
229,Gorontalo,ID,0.54,123.06,84.67,78,29,1.61
230,Vuktyl,RU,63.86,57.31,35.1,95,100,1.48
231,Atasū,KZ,48.68,71.64,66.51,25,64,8.48
232,Mata Grande,BR,-9.12,-37.73,67.66,85,98,3.36
233,Itainópolis,BR,-7.45,-41.48,71.69,88,100,3.06
234,Birjand,IR,32.87,59.22,62.6,55,20,4.7
235,Tavda,RU,58.04,65.27,48.97,49,43,8.68
236,Cookeville,US,36.16,-85.5,35.64,100,1,4.09
237,Souillac,MU,-20.52,57.52,81.75,58,20,11.41
238,Taganak,PH,6.08,118.3,89.29,66,40,8.05
239,Emerald,AU,-23.53,148.17,93.96,23,13,13.87
240,Russell,US,32.35,-85.2,57.13,87,20,4.45
241,Keti Bandar,PK,24.14,67.45,86.0,58,79,15.1
242,Ilulissat,GL,69.22,-51.1,21.2,62,97,21.92
243,San Patricio,MX,19.22,-104.7,74.43,75,44,8.23
244,Mogadishu,SO,2.04,45.34,87.8,62,75,4.7
245,Noumea,NC,-22.28,166.46,82.78,58,15,8.05
246,Forsytheganj,BY,52.63,29.73,40.55,66,70,8.52
247,Bālāghāt,IN,21.8,80.18,104.79,13,71,3.78
248,San Vicente de Cañete,PE,-13.08,-76.38,70.75,75,7,1.97
249,Acapulco de Juárez,MX,16.86,-99.89,77.0,88,5,4.7
250,Jumla,NP,29.27,82.18,71.01,89,19,6.78
251,Dingle,PH,11.0,122.67,91.69,45,14,14.76
252,Hegang,CN,47.4,130.37,64.69,26,100,13.94
253,Riesi,IT,37.28,14.08,64.0,74,75,3.0
254,Stornoway,GB,58.21,-6.39,33.8,73,0,1.12
255,Saskylakh,RU,71.92,114.08,23.56,91,0,6.17
256,Weligama,LK,5.97,80.42,89.69,62,3,9.71
257,Pontianak,ID,-0.03,109.33,91.4,55,40,4.7
258,Faya,SA,18.39,42.45,67.08,82,40,11.41
259,Lagoa,PT,39.05,-27.98,60.24,66,59,24.16
260,Along,IN,28.17,94.77,70.88,64,86,1.48
261,Marzuq,YE,14.4,46.47,80.67,28,68,5.35
262,Dryden,CA,49.78,-92.75,26.6,49,90,10.29
263,Kunming,CN,25.04,102.72,76.37,31,40,20.13
264,Khovd,MN,48.01,91.64,44.01,29,0,4.9
265,Khowst,AF,33.38,69.88,66.4,27,7,4.47
266,Manokwari,ID,-0.87,134.08,85.55,65,86,3.76
267,Zhezkazgan,KZ,47.8,67.71,69.8,28,42,2.24
268,Saint-Pierre,RE,-21.34,55.48,78.08,65,20,23.04
269,Port Lincoln,AU,-34.73,135.87,69.04,46,95,15.73
270,Paris,FR,48.85,2.35,54.57,93,90,6.93
271,Arraial do Cabo,BR,-22.97,-42.03,73.09,65,99,3.24
272,Vytegra,RU,61.01,36.45,34.97,85,49,5.23
273,Mariehamn,AX,60.1,19.93,41.0,60,0,6.93
274,Walvis Bay,NA,-22.96,14.51,55.17,93,27,2.24
275,Pimentel,PE,-6.84,-79.93,70.56,84,5,11.68
276,Poum,NC,-20.23,164.02,79.68,77,65,14.25
277,Arbagar,RU,51.94,116.28,34.83,53,69,15.66
278,Caniço,PT,32.63,-16.85,60.8,67,40,6.93
279,Caicó,BR,-6.46,-37.1,75.7,80,79,1.41
280,Najrān,SA,17.49,44.13,84.2,37,75,4.7
281,Chimbote,PE,-9.09,-78.58,69.89,86,31,4.85
282,Naze,JP,28.37,129.48,74.32,78,75,20.8
283,Petrolina de Goiás,BR,-16.09,-49.34,67.59,100,90,9.17
284,Longyearbyen,SJ,78.22,15.64,28.4,79,75,6.93
285,Pelotas,BR,-31.77,-52.34,57.99,97,2,6.42
286,San Vicente,AR,-26.62,-54.13,54.77,69,0,2.04
287,Gamba,GA,-2.65,10.0,78.3,86,99,1.23
288,Kuching,MY,1.55,110.33,87.42,70,40,5.82
289,Santa Rosalía,MX,27.32,-112.28,64.74,48,4,4.7
290,Xiuyan,CN,40.29,123.27,56.3,59,100,11.72
291,Necochea,AR,-38.55,-58.74,60.01,80,100,10.0
292,Chuguyevka,RU,44.17,133.86,61.57,30,80,8.52
293,Kon Tum,VN,14.35,108.0,92.97,38,33,3.11
294,Øksfjord,NO,70.24,22.35,41.0,80,100,11.9
295,Komyshuvakha,UA,47.72,35.53,48.25,42,82,6.71
296,Ahipara,NZ,-35.17,173.17,65.05,81,100,6.8
297,Hofn,IS,64.25,-15.21,45.39,88,97,12.37
298,Kamenka,RU,51.32,42.77,46.99,49,0,7.0
299,Srednekolymsk,RU,67.45,153.68,11.14,91,51,12.46
300,Kyabram,AU,-36.32,145.05,65.01,40,21,4.0
301,Viedma,AR,-40.81,-63.0,68.85,52,63,9.44
302,Vestmannaeyjar,IS,63.44,-20.27,45.88,95,100,20.33
303,Kawalu,ID,-7.38,108.21,89.64,48,88,4.32
304,Igrim,RU,63.19,64.42,36.97,97,99,9.24
305,Mandalgovi,MN,45.76,106.27,40.89,30,0,23.33
306,Nouadhibou,MR,20.93,-17.03,62.6,88,0,17.22
307,Hervey Bay,AU,-25.3,152.85,75.58,78,40,8.05
308,Maragogi,BR,-9.01,-35.22,78.35,81,92,1.5
309,Fuling,CN,29.7,107.39,73.83,57,97,1.57
310,Plaeng Yao,TH,13.58,101.28,91.0,63,85,7.43
311,Richards Bay,ZA,-28.78,32.04,72.75,75,28,9.1
312,Kalangala,UG,-0.31,32.23,69.8,88,20,4.85
313,Vardø,NO,70.37,31.11,35.83,89,100,9.22
314,Bereda,ES,43.27,-7.54,49.5,100,80,4.0
315,Kushmurun,KZ,52.45,64.63,53.69,54,93,7.29
316,Bana,CM,5.15,10.28,63.72,73,98,1.97
317,Macao,MO,22.2,113.55,81.01,88,20,12.75
318,Oriximiná,BR,-1.77,-55.87,75.7,93,100,0.2
319,Coquimbo,CL,-29.95,-71.34,53.6,100,90,3.36
320,Robāţ Karīm,IR,35.48,51.08,66.15,48,20,9.84
321,Geraldton,AU,-28.77,114.6,77.52,47,96,18.34
322,San Cristobal,VE,7.77,-72.22,67.14,63,83,0.45
323,Abhā,SA,18.22,42.51,66.79,82,40,11.41
324,Torbay,CA,47.67,-52.73,27.73,85,75,6.93
325,Nanyuki,KE,0.02,37.07,63.66,46,100,4.25
326,Clyde River,CA,70.47,-68.59,-4.0,91,1,8.05
327,Mount Isa,AU,-20.73,139.5,93.2,15,18,10.29
328,Oktyabr'skiy,RU,54.48,53.47,45.41,55,0,11.25
329,Chernyshevskiy,RU,63.01,112.47,22.57,88,98,7.76
330,Abong Mbang,CM,3.98,13.18,70.25,76,84,4.83
331,Nhulunbuy,AU,-12.23,136.77,87.8,62,40,10.29
332,Vertou,FR,47.17,-1.47,55.69,76,82,8.05
333,Caernarfon,GB,53.14,-4.27,47.98,81,53,4.7
334,Le Port,RE,-20.94,55.29,72.77,88,75,18.34
335,Rawson,AR,-43.3,-65.1,64.49,39,97,21.7
336,Palmer,US,42.16,-72.33,28.94,100,1,3.36
337,Sokoni,TZ,-6.43,39.55,73.9,94,75,9.17
338,Batetskiy,RU,58.65,30.3,35.35,88,95,8.41
339,Lavrentiya,RU,65.58,-171.0,18.48,94,96,8.88
340,Altay,CN,47.87,88.12,56.55,27,52,1.21
341,Touros,BR,-5.2,-35.46,77.0,100,75,4.7
342,Cayhagan,PH,9.67,122.43,87.51,66,56,1.61
343,Santiago del Estero,AR,-27.8,-64.26,61.54,56,0,7.27
344,Coahuayana Viejo,MX,18.73,-103.68,74.5,69,17,3.51
345,Arman',RU,59.7,150.17,15.01,83,33,10.78
346,Yulara,AU,-25.24,130.99,96.8,16,62,9.17
347,Half Moon Bay,US,37.46,-122.43,52.21,66,1,3.36
348,Alofi,NU,-19.06,-169.92,78.8,83,11,13.87
349,Andenes,NO,69.31,16.12,39.74,93,90,17.22
350,Stranda,NO,62.31,6.94,34.3,57,9,0.94
351,Kuldīga,LV,56.97,21.96,42.8,75,0,13.87
352,Constantine,DZ,36.37,6.61,62.6,67,75,5.82
353,Bagdarin,RU,54.43,113.6,25.12,63,91,10.65
354,Ca Mau,VN,9.18,105.15,94.08,42,32,9.35
355,Tessalit,ML,20.2,1.01,73.67,30,95,6.69
356,Millinocket,US,45.66,-68.71,25.7,79,1,3.36
357,Springbok,ZA,-29.66,17.89,60.93,22,68,4.34
358,Sørland,NO,67.67,12.69,41.04,87,99,8.72
359,Inhambane,MZ,-23.86,35.38,78.8,61,20,4.7
360,Bafra,TR,41.57,35.91,59.0,58,0,0.81
361,Palu,ID,-0.89,119.87,84.81,75,46,2.51
362,Tura,IN,25.52,90.22,82.08,57,74,6.62
363,Yanji,CN,42.91,129.51,59.67,36,100,16.15
364,Buchanan,LR,5.88,-10.05,77.0,94,75,2.89
365,São Félix do Xingu,BR,-6.64,-51.99,71.46,91,100,2.73
366,Kyra,RU,49.58,111.98,37.85,40,100,17.2
367,Taman',RU,45.21,36.72,54.27,62,49,8.95
368,Acará,BR,-1.96,-48.2,72.34,97,100,1.43
369,Bilibino,RU,68.05,166.44,9.32,83,40,5.23
370,Aksu,CN,41.12,80.26,65.3,26,100,7.34
371,Siderno,IT,38.28,16.3,63.0,71,53,1.01
372,Inuvik,CA,68.35,-133.72,17.6,85,90,9.17
373,Mount Gambier,AU,-37.83,140.77,62.6,59,75,12.75
374,Tezpur,IN,26.63,92.8,86.38,45,68,2.3
375,Bagotville,AU,-28.98,153.42,75.7,73,1,9.17
376,Kampong Thom,KH,12.71,104.89,94.06,49,70,6.15
377,Nchelenge,ZM,-9.35,28.73,70.03,63,65,7.14
378,Languyan,PH,5.26,120.08,84.72,73,100,6.91
379,Qandala,SO,11.47,49.87,87.62,57,70,5.57
380,Puerto Colombia,CO,10.99,-74.95,78.8,88,20,4.7
381,Porto Santo,PT,33.07,-16.34,59.54,77,40,12.75
382,Pozo Colorado,PY,-23.49,-58.8,60.51,58,0,2.75
383,Eureka,US,40.8,-124.16,51.01,90,80,1.03
384,Lypova Dolyna,UA,50.56,33.8,44.29,57,100,5.32
385,Tucuruí,BR,-3.77,-49.67,72.5,88,84,2.08
386,Grand Gaube,MU,-20.01,57.66,81.52,58,20,11.41
387,Letlhakane,BW,-21.42,25.58,66.43,56,0,14.43
388,Auki,SB,-8.77,160.7,83.03,72,78,1.48
389,Salalah,OM,17.02,54.09,84.2,70,75,9.17
390,Jalu,LY,29.03,21.55,68.31,33,13,3.04
391,Bashtanka,UA,47.41,32.44,50.31,46,79,2.93
392,Krasnoarmiys'k,UA,48.28,37.18,49.03,45,99,2.08
393,Tambopata,PE,-12.73,-69.18,63.36,78,0,1.43
394,Hambantota,LK,6.12,81.12,86.76,71,12,11.45
395,Samoylovka,RU,51.18,43.71,46.99,49,2,7.0
396,Nikolskoye,RU,59.7,30.79,37.42,86,90,11.18
397,Caconda,AO,-13.73,15.07,59.14,61,75,3.96
398,Beloha,MG,-25.17,45.05,78.8,57,0,13.29
399,Bacolod City,PH,10.67,122.95,92.93,45,16,7.4
400,Sheltozero,RU,61.37,35.37,33.53,91,88,9.33
401,Nabire,ID,-3.37,135.48,85.41,65,100,2.98
402,Cap Malheureux,MU,-19.98,57.61,81.5,58,20,11.41
403,Onda,ES,39.97,-0.25,59.32,100,75,1.12
404,Bengkulu,ID,-3.8,102.27,87.84,60,55,5.39
405,Makakilo City,US,21.35,-158.09,73.36,77,1,8.05
406,Grande Prairie,CA,55.17,-118.8,37.4,64,5,9.17
407,Anadyr,RU,64.75,177.48,15.35,85,90,13.42
408,Iquique,CL,-20.22,-70.14,62.6,77,21,0.67
409,Santa Rosa,PH,14.31,121.11,95.27,50,40,10.29
410,Brae,GB,60.4,-1.35,39.15,93,0,5.82
411,Kismayo,SO,-0.36,42.55,84.97,71,100,7.9
412,Nambucca Heads,AU,-30.65,153.0,71.76,60,28,8.05
413,Ponta do Sol,PT,32.67,-17.1,55.99,63,18,13.0
414,Kapit,MY,2.02,112.93,91.63,46,65,2.1
415,Nemuro,JP,43.32,145.57,51.8,43,75,10.29
416,Solnechnyy,RU,50.72,136.63,51.64,41,100,7.81
417,Santa María del Oro,MX,25.93,-105.37,56.55,34,30,8.48
418,Ulladulla,AU,-35.35,150.47,62.46,82,40,12.75
419,Tongliao,CN,43.61,122.27,66.69,25,100,22.93
420,Shakawe,BW,-18.37,21.85,71.24,45,100,6.31
421,Kaputa,ZM,-8.47,29.66,69.51,65,92,7.0
422,Batagay-Alyta,RU,67.8,130.41,14.76,77,91,2.44
423,Lompoc,US,34.64,-120.46,48.27,87,75,6.73
424,Negara,ID,-8.32,114.6,85.51,71,86,2.71
425,Cândido de Abreu,BR,-24.57,-51.33,55.83,80,9,3.33
426,Suzun,RU,53.78,82.31,56.75,42,1,2.39
427,Ixtapa,MX,20.7,-105.2,73.4,83,75,4.7
428,Vao,NC,-22.67,167.48,77.31,74,1,10.71
429,Namatanai,PG,-3.67,152.43,83.84,73,75,7.36
430,Mgandu,TZ,-5.95,34.13,63.57,60,87,6.91
